index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
136,Female,Asian,20,11/5/2022,520003,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Complete App,137
137,Male,Asian,21,11/24/2022,530047,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Complete App,138
138,Male,Asian,23,10/3/2022,521139,International,India,Andhra Pradedsh,Data Science (MS),Started App,139
139,Male,Asian,23,10/4/2022,533103,International,India,Andhra Pradedsh,Data Science (MS),Started App,140
140,Male,Asian,21,11/14/2022,517001,International,India,Andhra Pradedsh,Data Science (MS),Started App,141
141,Male,Asian,22,11/18/2022,522003,International,India,Andhra Pradedsh,Data Science (MS),Started App,142
142,Male,Asian,22,11/28/2022,517501,International,India,Andhra Pradedsh,Data Science (MS),Started App,143
143,Male,None Listed,23,12/8/2022,517503,International,India,Andhra Pradedsh,Data Science (MS),Started App,144
144,Male,Asian,28,12/27/2022,530022,International,India,Andhra Pradedsh,Data Science (MS),Started App,145
145,Male,None Listed,21,1/6/2023,517126,International,India,Andhra Pradedsh,Data Science (MS),Started App,146
146,Male,Asian,22,1/24/2023,530047,Domestic,India,Andhra Pradedsh,Data Science (MS),Started App,147
147,Male,Asian,36,1/31/2023,533105,International,India,Andhra Pradedsh,Data Science (MS),Started App,148
148,Male,Asian,23,2/13/2023,532404,International,India,Andhra Pradedsh,Data Science (MS),Started App,149
149,Male,Asian,25,2/18/2023,522414,International,India,Andhra Pradedsh,Data Science (MS),Started App,150
150,Male,Asian,23,3/6/2023,521403,International,India,Andhra Pradedsh,Data Science (MS),Started App,151
151,Male,Asian,22,3/9/2023,517503,International,India,Andhra Pradedsh,Data Science (MS),Started App,152
152,Male,None Listed,22,8/7/2022,521181,International,India,Andhra Pradedsh,Data Science (MS),Submitted App,153
153,Male,Asian,23,9/20/2022,533217,International,India,Andhra Pradedsh,Data Science (MS),Submitted App,154
154,Male,Asian,26,11/2/2022,515801,International,India,Andhra Pradedsh,Data Science (MS),Submitted App,155
155,Male,Asian,22,1/6/2023,520013,International,India,Andhra Pradedsh,Data Science (MS),Submitted App,156
156,Female,Asian,22,12/29/2022,530007,International,India,Andhra Pradedsh,Data Science (MS),Complete App,157
157,Male,Asian,21,1/3/2023,517507,International,India,Andhra Pradedsh,Data Science (MS),Complete App,158
158,Female,Asian,22,1/7/2023,530003,International,India,Andhra Pradedsh,Data Science (MS),Complete App,159
159,Male,Asian,21,1/18/2023,522501,International,India,Andhra Pradedsh,Data Science (MS),Complete App,160
160,Male,Asian,24,1/28/2023,522646,International,India,Andhra Pradedsh,Data Science (MS),Complete App,161
161,Female,Asian,21,1/31/2023,530016,International,India,Andhra Pradedsh,Data Science (MS),Complete App,162
162,Male,Asian,23,2/21/2023,532404,International,India,Andhra Pradedsh,Data Science (MS),Complete App,163
163,Female,Asian,27,2/27/2023,530044,International,India,Andhra Pradedsh,Data Science (MS),Complete App,164
164,Female,Asian,29,9/21/2022,530002,International,India,Andhra Pradedsh,Data Science (MS),Admit,165
165,Female,Asian,23,1/25/2023,520010,International,India,Andhra Pradedsh,Data Science (MS),Admit,166
166,Male,Asian,24,1/28/2023,533003,International,India,Andhra Pradedsh,Data Science (MS),Admit,167
167,Male,Asian,22,1/31/2023,533103,International,India,Andhra Pradedsh,Data Science (MS),Admit,168
168,Male,Asian,24,2/16/2023,530026,International,India,Andhra Pradedsh,Data Science (MS),Admit,169
169,Female,Asian,21,11/18/2022,521137,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,170
170,Male,Asian,21,11/27/2022,530041,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,171
171,Female,Asian,20,12/21/2022,530026,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,172
172,Female,Asian,20,12/23/2022,520007,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,173
173,Female,Asian,23,1/17/2023,522616,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,174
