City,State,Lat,Long,Country,Date Started App,Date Submitted App,Program,Status
Bengaluru,Karnataka,12.802464,77.704957,India,44874,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44883,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44892,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44885,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44909,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44932,,Data Science (MS),Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44882,44882,Data Science (MS),Submitted App
BENGALURU,Karnataka,12.802464,77.704957,India,44897,44907,Data Science (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44861,44953,Data Science (MS),Admit-Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44907,44907,Data Science (MS),Admit-Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44917,44930,Data Science (MS),Admit-Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44935,44985,Data Science (MS),Admit-Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44984,44986,Data Science (MS),Admit-Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44890,44944,Data Science (MS),Admit-Not Coming
Bengaluru,Karnataka,12.802464,77.704957,India,44947,44950,Data Science (MS),Denied
Benin City,Edo,6.3333,5.6222,Nigeria,44527,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Benin City,Edo,6.3333,5.6222,Nigeria,44827,44827,Chemistry (MS),Complete App
Bennington,Vermont,41.3682,-96.1616,United States,44670,,English (MA),Started App
Berger,Lagos,38.6718,-91.3391,United States,44615,44615,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App
Berkeley,California,37.8722,-122.276,United States,44906,44909,Childhood Studies (PHD),Admit-Withdrawn
Berkeley,California,37.8722,-122.276,United States,44887,44943,Creative Writing (MFA) Camden,Denied
Berkeley Heights,New Jersey,40.6764,-74.4244,United States,44927,44946,Creative Writing (MFA) Camden,Denied
Berlin,New Jersey,44.4869,-71.2599,United States,44504,,Biology - Accelerated Degree BA/MS (MS),Started App
Berlin,New Jersey,44.4869,-71.2599,United States,44742,44972,Criminal Justice (MA),Submitted App
Berlin,New Jersey,44.4869,-71.2599,United States,44923,44936,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit
Berlin,New Jersey,44.4869,-71.2599,United States,44558,44935,Public Affairs/Community Development (PHD),Admit
Bethesda,Maryland,38.9866,-77.1188,United States,44771,,Biology: Computational and Integrative (PHD),Started App
Betterton,Maryland,39.3652,-76.069,United States,44869,44910,"History (American, Global, Public) (MA)",Admit-Withdrawn
Birdsboro,Pennsylvania,40.2619,-75.8099,United States,44942,44945,Creative Writing (MFA) Camden,Waitlisted
Birdsboro,Pennsylvania,40.2619,-75.8099,United States,44917,44917,"History (American, Global, Public) (MA)",Admit-Withdrawn
Birmingham,Alabama,33.5279,-86.7971,United States,44572,44928,Childhood Studies (PHD),Denied
Blacksburg,Virginia,37.23,-80.4279,United States,44891,44895,Prevention Science (MS),Admit
Blackwood,New Jersey,39.7982,-75.0629,United States,44848,44848,Biology: Computational and Integrative (PHD),Denied
Blackwood,New Jersey,39.7982,-75.0629,United States,44992,44993,Criminal Justice (MA),Admit-Coming
Blackwood,New Jersey,39.7982,-75.0629,United States,44750,44751,Liberal Studies - Online (MA),Admit-Withdrawn
Blackwood,New Jersey,39.7982,-75.0629,United States,44940,44940,Psychology: Psychological Sciences (MA),Submitted App
Blackwood,New Jersey,39.7982,-75.0629,United States,45011,45011,Public Administration - On Campus (MPA),Admit-Coming
Bloomington,Illinois,40.4757,-88.9703,United States,44941,44941,Creative Writing (MFA) Camden,Denied
Bloomington,Indiana,40.4757,-88.9703,United States,44890,44890,Prevention Science (PHD),Alternative Admission
Bloomington,Indiana,40.4757,-88.9703,United States,44890,44890,Psychology: Psychological Sciences (MA),Admit
Blue Ash,Ohio,39.248,-84.3827,United States,44893,44941,Prevention Science (MS),Denied
Boca Raton,Florida,26.3752,-80.108,United States,44823,44888,Psychology: Psychological Sciences (MA),Admit
Bolgatanga,Upper East,10.7833,-0.85,Ghana,44992,44992,Data Science (MS),Submitted App
Bonita,California,32.6651,-117.0296,United States,45008,,Public Administration - On Campus (MPA),Started App
Boone,North Carolina,36.2111,-81.6669,United States,44816,44893,Psychology: Psychological Sciences (MA),Complete App
Bordentown,New Jersey,40.142,-74.7098,United States,44892,44895,English (MA),Admit-Withdrawn
Boston,Massachusetts,42.3188,-71.0852,United States,44888,44908,English (MA),Admit
Boston,Massachusetts,42.3188,-71.0852,United States,44638,44639,Public Affairs/Community Development (MS),Denied
Brampton,Ontario,43.6833,-79.7667,Canada,44889,44895,Prevention Science (PHD),Denied
Brick,New Jersey,40.06,-74.1099,United States,44821,44872,Psychology: Psychological Sciences (MA),Complete App
Bridgeport,Connecticut,41.1918,-73.1954,United States,44668,,English (MA),Started App
Bridgeton,New Jersey,38.7673,-90.4275,United States,44596,,Computer Science: Scientific Computing (NOD),Started App
Bridgewater,New Jersey,38.3862,-78.9674,United States,44916,44921,Data Science (MS),Admit
Bridgewater,New Jersey,38.3862,-78.9674,United States,44847,44895,Prevention Science (PHD),Denied
Brielle,New Jersey,40.1048,-74.0637,United States,44532,,Childhood Studies (PHD),Started App
Bristol,Pennsylvania,36.5572,-82.2154,United States,44832,44888,Biology: Computational and Integrative (PHD),Denied
Bristol,Connecticut,36.5572,-82.2154,United States,44905,,Creative Writing (MFA) Camden,Started App
Bronx,New York,40.8501,-73.8662,United States,44910,44910,Creative Writing (MFA) Camden,Denied
Bronx,New York,40.8501,-73.8662,United States,44931,44931,English (MA),Admit-Coming
Bronx,New York,40.8501,-73.8662,United States,44931,44931,Public Administration - On Campus (MPA),Withdrawn
Bronx,New York,40.8501,-73.8662,United States,44696,44696,Public Affairs/Community Development (PHD),Withdrawn
Brooklyn,New York,40.6501,-73.9496,United States,44587,44881,Biology (MS),Complete App
Brooklyn,New York,40.6501,-73.9496,United States,44456,44456,Childhood Studies (PHD),Alternative Admission
Brooklyn,New York,40.6501,-73.9496,United States,44917,44945,Creative Writing (MFA) Camden,Admit-Coming
Brooklyn,New York,40.6501,-73.9496,United States,44858,44931,Creative Writing (MFA) Camden,Denied
Brooklyn,New York,40.6501,-73.9496,United States,44861,44931,Creative Writing (MFA) Camden,Denied
Brooklyn,New York,40.6501,-73.9496,United States,44930,44930,Creative Writing (MFA) Camden,Denied
Brooklyn,New York,40.6501,-73.9496,United States,44944,44944,Creative Writing (MFA) Camden,Denied
Brooklyn,New York,40.6501,-73.9496,United States,44946,44946,Creative Writing (MFA) Camden,Denied
Brooklyn,New York,40.6501,-73.9496,United States,44937,44937,Data Science (MS),Admit
Brooklyn,New York,40.6501,-73.9496,United States,44754,44910,English (MA),Admit
Brooklyn,New York,40.6501,-73.9496,United States,44906,44908,English (MA),Admit
Brooklyn,New York,40.6501,-73.9496,United States,44459,44547,Public Affairs/Community Development (MS),Admit-Coming
Browns Mills,New Jersey,39.9737,-74.569,United States,44874,44982,Psychology: Psychological Sciences (MA),Complete App
Buckeye,Arizona,33.4314,-112.6429,United States,44860,,Biology: Computational and Integrative (MS),Started App
Budd Lake,New Jersey,40.8733,-74.7375,United States,45005,45005,"History (American, Global, Public) (MA)",Admit-Coming
Buffalo,New York,42.9018,-78.8487,United States,44828,44920,Data Science (MS),Admit
Bungoma,Bungoma,0.5667,34.5667,Kenya,44984,45000,Public Administration - On Campus (MPA),Admit-Coming
Burlingame,California,37.5859,-122.3667,United States,44964,44972,Liberal Studies - Online (MA),Admit
Burlington,New Jersey,36.076,-79.4685,United States,44886,44939,Childhood Studies (PHD),Denied
Burlington,New Jersey,36.076,-79.4685,United States,44918,44970,Data Science (MS),Admit-Coming
Burlington,New Jersey,36.076,-79.4685,United States,44699,44877,English (MA),Admit-Coming
Burlington,New Jersey,36.076,-79.4685,United States,45018,45042,Mathematical Sciences (MS),Submitted App
Burlington,New Jersey,36.076,-79.4685,United States,44987,44988,Psychology: Psychological Sciences (MA),Submitted App
Burlington,New Jersey,36.076,-79.4685,United States,44935,44936,Public Affairs/Community Development (PHD),Denied
Burnaby,BC,49.2667,-122.9667,Canada,44805,44895,Prevention Science (MS),Denied
Busan,,35.18,129.075,South Korea,44927,44941,Psychology: Psychological Sciences (MA),Complete App
Byesville,Ohio,39.9733,-81.5459,United States,44939,44939,Creative Writing (MFA) Camden,Denied
Cairo,,30.879,-84.205,United States,44920,44920,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App
Caldwell,New Jersey,43.6453,-116.6594,United States,44922,44943,Childhood Studies (PHD),Admit-Coming
Calgary,,51.05,-114.0667,Canada,44830,44867,Biology: Computational and Integrative (PHD),Admit-Withdrawn
Camden,New Jersey,39.9361,-75.1073,United States,44886,44890,Biology: Computational and Integrative (PHD),Admit-Withdrawn
Camden,New Jersey,39.9361,-75.1073,United States,44893,44916,Biology: Computational and Integrative (PHD),Withdrawn
Camden,New Jersey,39.9361,-75.1073,United States,44894,44950,Childhood Studies (MA),Denied
Camden,New Jersey,39.9361,-75.1073,United States,44838,,Computer Science: Scientific Computing (MS),Started App
CAMDEN,New Jersey,39.9361,-75.1073,United States,44887,44945,Creative Writing (MFA) Camden,Waitlisted
Camden,New Jersey,39.9361,-75.1073,United States,44939,44944,Creative Writing (MFA) Camden,Denied
Camden,New Jersey,39.9361,-75.1073,United States,44966,,Criminal Justice (MA),Started App
Camden,New Jersey,39.9361,-75.1073,United States,44966,44966,Criminal Justice (MA),Submitted App
Camden,New Jersey,39.9361,-75.1073,United States,44850,44893,Criminal Justice (MA),Admit-Coming
Camden,New Jersey,39.9361,-75.1073,United States,44831,44971,Criminal Justice (MA),Denied
Camden,New Jersey,39.9361,-75.1073,United States,44862,44916,Psychology: Psychological Sciences (MA),Complete App
Camden,New Jersey,39.9361,-75.1073,United States,44984,44985,Psychology: Psychological Sciences (MA),Complete App
Camden,Massachusetts,39.9361,-75.1073,United States,44985,45000,Psychology: Psychological Sciences (MA),Complete App
Camden,New Jersey,39.9361,-75.1073,United States,44945,44975,Psychology: Psychological Sciences (MA),Admit-Coming
Camden,New Jersey,39.9361,-75.1073,United States,44908,44911,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Denied
Camden,New Jersey,39.9361,-75.1073,United States,44912,44912,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Denied
Camden,New Jersey,39.9361,-75.1073,United States,44932,,Public Affairs/Community Development (MS),Started App
Camden,New Jersey,39.9361,-75.1073,United States,44883,44942,Public Affairs/Community Development (MS),Admit-Coming
Camden,New Jersey,39.9361,-75.1073,United States,44898,44906,Public Affairs/Community Development (MS),Withdrawn
